Serial,IQ,Bengali,English,Math,Physical_Science,Biology,History,Geography,Stream
2,101,91,96,87,100,86,84,78,Science
3,114,89,88,100,100,85,100,80,Science
4,109,86,98,93,96,94,96,93,Science
5,105,100,93,88,97,89,99,91,Science
6,102,76,87,94,99,89,80,70,Science
7,115,94,88,89,98,86,86,87,Science
8,101,82,90,86,88,90,86,75,Science
9,120,73,80,100,86,100,75,96,Science
10,113,73,93,88,97,93,74,71,Science
11,117,75,84,86,96,86,77,84,Science
12,105,97,100,99,99,94,71,98,Science
13,105,100,93,86,90,86,85,95,Science
14,118,88,83,88,100,100,89,90,Science
15,115,98,80,90,97,100,93,83,Science
16,98,81,98,91,95,87,81,74,Science
17,102,91,87,94,98,97,75,75,Science
18,118,76,94,87,86,91,70,75,Science
19,97,96,100,87,96,90,100,99,Science
20,116,79,94,94,91,96,73,91,Science
21,115,95,88,90,87,92,86,99,Science
22,96,88,100,97,99,99,82,87,Science
23,118,76,88,96,87,92,87,83,Science
24,106,99,89,87,89,90,74,79,Science
25,100,72,99,97,87,96,99,83,Science
26,96,82,100,86,86,95,93,82,Science
27,115,82,88,92,94,94,93,100,Science
28,95,87,82,89,93,87,96,99,Science
29,106,97,99,99,86,100,72,72,Science
30,120,99,90,85,98,87,80,99,Science
31,116,95,85,87,95,99,82,75,Science
32,106,89,81,94,86,85,73,98,Science
33,119,97,86,92,97,100,95,77,Science
34,111,77,97,88,99,100,96,81,Science
35,104,98,81,100,92,91,83,82,Science
36,110,100,96,98,99,89,91,80,Science
37,109,78,90,91,93,88,80,81,Science
38,109,76,91,94,91,94,96,70,Science
39,113,70,98,96,87,99,79,86,Science
40,106,72,86,98,93,88,88,85,Science
41,117,82,99,98,87,98,87,80,Science
42,114,97,85,86,89,88,75,82,Science
43,119,99,100,91,93,90,96,87,Science
44,97,94,80,89,96,99,98,80,Science
45,99,100,96,89,98,92,84,100,Science
46,113,97,90,90,98,92,90,97,Science
47,101,86,97,97,87,89,99,81,Science
48,115,94,100,93,91,99,79,75,Science
49,103,93,96,98,100,90,74,78,Science
50,101,70,86,90,100,88,95,85,Science
51,112,75,96,96,96,96,98,73,Science
52,98,90,99,97,85,98,74,72,Science
53,119,75,88,99,88,95,79,97,Science
54,108,95,96,98,88,97,97,85,Science
55,112,81,99,92,91,93,74,93,Science
56,120,82,87,91,92,92,72,96,Science
57,103,82,96,93,85,94,92,95,Science
58,120,98,86,88,89,96,75,99,Science
59,115,84,80,86,91,94,73,94,Science
60,96,90,92,91,96,85,87,81,Science
61,114,85,98,90,88,99,97,80,Science
62,109,91,98,85,97,86,78,74,Science
63,101,90,96,95,88,93,86,94,Science
64,106,80,92,93,88,92,98,87,Science
65,102,97,95,93,96,98,82,88,Science
66,109,74,87,96,90,87,96,92,Science
67,97,73,98,86,91,92,84,92,Science
68,108,72,97,87,86,96,99,75,Science
69,111,88,80,89,99,85,89,91,Science
70,98,89,93,89,89,94,86,87,Science
71,112,94,98,99,88,88,82,95,Science
72,102,87,94,85,99,87,85,75,Science
73,98,84,97,92,98,90,91,73,Science
74,96,78,81,96,100,91,73,81,Science
75,100,86,96,92,97,88,74,88,Science
76,116,83,97,88,87,91,74,98,Science
77,104,84,85,97,91,93,78,96,Science
78,98,100,98,91,95,95,86,98,Science
79,116,70,83,99,96,86,82,71,Science
80,112,90,80,99,90,95,71,86,Science
81,120,91,87,95,98,87,82,80,Science
82,106,91,86,94,91,89,91,80,Science
83,96,72,82,87,89,87,90,90,Science
84,104,85,89,90,97,95,96,85,Science
85,98,92,89,98,90,92,92,71,Science
86,108,94,98,100,89,96,88,71,Science
87,110,80,93,94,98,94,72,92,Science
88,109,81,81,97,91,92,79,77,Science
89,102,79,80,94,86,92,71,82,Science
90,108,85,97,96,98,96,82,79,Science
91,117,77,86,98,95,96,88,77,Science
92,119,75,87,93,89,93,95,99,Science
93,102,81,80,85,90,88,86,73,Science
94,115,93,82,89,90,89,90,84,Science
95,110,97,87,88,99,89,83,99,Science
96,107,90,94,92,89,92,100,70,Science
97,112,77,84,95,94,91,81,80,Science
98,109,95,82,96,91,93,90,76,Science
99,115,97,98,85,94,99,81,86,Science
100,118,73,80,93,92,99,80,96,Science
101,120,95,94,100,91,100,76,89,Science
102,119,77,87,90,89,98,73,93,Science
103,107,95,81,88,85,92,88,87,Science
104,103,97,82,96,97,86,70,91,Science
105,109,87,93,93,89,94,97,98,Science
106,107,97,93,95,94,96,100,91,Science
107,95,97,90,89,86,88,93,81,Science
108,119,74,95,99,97,90,98,78,Science
109,101,78,83,89,89,96,72,74,Science
110,103,73,99,96,89,86,82,79,Science
111,118,96,84,89,86,91,84,73,Science
112,95,91,100,85,89,100,71,74,Science
113,106,100,93,85,97,87,80,97,Science
114,102,86,95,92,100,97,73,97,Science
115,118,78,97,96,88,87,88,79,Science
116,105,70,86,92,85,95,98,100,Science
117,113,90,89,96,87,86,86,80,Science
118,111,89,86,99,85,95,72,90,Science
119,102,82,80,99,96,92,97,93,Science
120,97,97,100,90,95,90,87,79,Science
121,97,85,98,96,99,85,77,97,Science
122,95,98,95,95,89,96,91,77,Science
