Serial,IQ,English,Accountancy,Economics,Buisness Studies,Mathematics,Computer Application,Stream
2,97,69,91,75,79,84,0,Bcom(H)
3,105,89,88,75,77,77,0,Bcom(H)
4,101,65,95,67,72,97,0,Bcom(H)
5,95,66,92,77,60,96,0,Bcom(H)
6,105,78,80,76,68,68,0,Bcom(H)
7,102,100,94,67,64,98,0,Bcom(H)
8,99,66,86,80,68,68,0,Bcom(H)
9,105,83,98,76,71,92,0,Bcom(H)
10,99,83,99,76,65,88,0,Bcom(H)
11,98,90,98,65,68,100,0,Bcom(H)
12,102,97,95,65,62,100,0,Bcom(H)
13,102,66,89,69,73,73,0,Bcom(H)
14,97,97,98,66,70,92,0,Bcom(H)
15,103,87,82,74,63,63,0,Bcom(H)
16,103,73,88,77,64,64,0,Bcom(H)
17,104,100,92,77,72,84,0,Bcom(H)
18,101,87,99,60,76,83,0,Bcom(H)
19,104,66,93,65,68,89,0,Bcom(H)
20,103,81,90,62,60,98,0,Bcom(H)
21,95,82,91,63,71,94,0,Bcom(H)
22,99,69,91,68,68,80,0,Bcom(H)
23,105,83,91,75,65,85,0,Bcom(H)
24,95,84,92,73,63,89,0,Bcom(H)
25,96,81,100,79,68,87,0,Bcom(H)
26,95,90,83,61,63,63,0,Bcom(H)
27,103,79,85,80,62,62,0,Bcom(H)
28,105,85,87,70,63,63,0,Bcom(H)
29,95,84,90,69,80,88,0,Bcom(H)
30,101,81,89,78,76,76,0,Bcom(H)
31,104,94,93,66,78,89,0,Bcom(H)
32,93,87,80,66,75,0,65,Bcom(H)
33,99,71,89,75,77,0,78,Bcom(H)
34,97,90,87,70,61,0,77,Bcom(H)
35,100,73,95,78,63,0,70,Bcom(H)
36,99,100,97,72,73,0,67,Bcom(H)
37,96,70,97,62,75,0,76,Bcom(H)
38,90,97,97,70,63,0,78,Bcom(H)
39,96,80,95,67,80,0,80,Bcom(H)
40,95,91,99,61,76,0,71,Bcom(H)
41,100,89,81,63,64,0,67,Bcom(H)
