Serial,IQ,English,Math,Physics,Chemistry,Biology,CS,STREAM
1,89,68,76,78,79,0,85,BPharm
2,93,65,71,75,78,76,0,BPharm
3,89,65,69,78,79,63,0,BPharm
4,90,73,61,77,75,79,0,BPharm
5,84,65,80,77,77,75,0,BPharm
6,89,75,79,70,70,70,0,BPharm
7,90,72,68,73,76,0,82,BPharm
8,80,74,62,71,79,67,0,BPharm
9,87,73,79,75,70,79,0,BPharm
10,89,67,65,74,76,0,85,BPharm
11,82,67,76,78,75,0,83,BPharm
12,81,72,75,72,78,78,0,BPharm
13,85,71,72,71,73,77,0,BPharm
14,84,70,61,78,76,69,0,BPharm
15,89,67,77,77,74,0,84,BPharm
16,86,70,69,80,70,72,0,BPharm
17,83,67,76,78,76,74,0,BPharm
18,87,75,63,72,75,0,85,BPharm
19,84,75,64,73,77,0,81,BPharm
20,91,70,72,74,72,0,85,BPharm
21,84,68,71,76,74,63,0,BPharm
22,94,68,74,72,73,72,0,BPharm
23,95,65,78,74,70,62,0,BPharm
24,90,73,80,79,78,62,0,BPharm
25,95,67,80,80,79,68,0,BPharm
26,91,71,68,77,79,0,82,BPharm
27,91,74,75,78,77,70,0,BPharm
28,81,69,78,73,78,72,0,BPharm
29,83,69,77,74,71,78,0,BPharm
30,93,66,65,75,75,0,79,BPharm
31,91,68,63,72,77,73,0,BPharm
32,94,69,66,70,75,64,0,BPharm
33,82,75,71,78,73,63,0,BPharm
34,92,71,74,71,78,73,0,BPharm
35,87,67,77,75,71,0,79,BPharm
36,84,70,78,80,75,75,0,BPharm
37,81,70,67,73,73,78,0,BPharm
38,91,68,70,74,79,62,0,BPharm
39,88,70,79,78,71,0,82,BPharm
40,90,75,80,75,79,77,0,BPharm
41,91,73,73,72,72,0,85,BPharm
42,82,74,71,75,72,73,0,BPharm
43,93,71,64,80,74,79,0,BPharm
44,95,67,64,75,72,0,84,BPharm
45,89,66,60,77,74,0,85,BPharm
46,93,70,73,77,74,70,0,BPharm
47,86,75,79,72,73,0,82,BPharm
48,92,65,75,73,79,0,85,BPharm
49,95,69,64,73,75,0,84,BPharm
50,89,65,71,70,79,0,80,BPharm
51,94,72,80,76,71,72,0,BPharm
52,95,71,77,74,70,0,85,BPharm
53,93,71,71,71,74,0,82,BPharm
54,83,67,66,75,77,73,0,BPharm
55,82,65,66,80,71,68,0,BPharm
56,82,66,62,70,71,78,0,BPharm
57,93,72,62,71,71,0,83,BPharm
58,88,68,69,74,76,0,83,BPharm
59,80,73,65,70,71,74,0,BPharm
60,87,69,75,71,71,71,0,BPharm
61,84,70,75,70,71,73,0,BPharm
62,91,69,65,74,75,69,0,BPharm
63,94,71,76,75,73,79,0,BPharm
64,82,65,76,77,74,0,82,BPharm
65,84,69,78,74,77,65,0,BPharm
66,82,65,71,77,75,63,0,BPharm
67,89,73,72,77,75,76,0,BPharm
68,88,75,78,75,78,0,85,BPharm
69,83,65,70,73,77,65,0,BPharm
70,92,69,72,75,72,0,84,BPharm
71,80,72,73,77,75,62,0,BPharm
72,88,71,79,79,72,0,80,BPharm
73,95,74,73,70,72,0,82,BPharm
74,89,67,60,79,72,0,81,BPharm
75,88,65,66,70,72,75,0,BPharm
76,90,65,74,77,70,64,0,BPharm
77,94,67,63,70,76,0,82,BPharm
78,89,66,68,71,74,0,84,BPharm
79,87,67,71,77,73,65,0,BPharm
80,86,72,67,73,70,0,80,BPharm
81,93,74,74,70,77,70,0,BPharm
82,92,67,74,75,79,0,79,BPharm
83,94,73,75,79,74,0,81,BPharm
84,81,66,70,76,79,67,0,BPharm
85,85,73,60,74,76,0,79,BPharm
86,83,72,63,75,76,76,0,BPharm
87,94,68,76,79,70,63,0,BPharm
88,94,65,64,76,70,0,83,BPharm
89,80,65,68,77,70,65,0,BPharm
90,81,66,64,75,71,0,83,BPharm
91,93,68,66,76,76,0,82,BPharm
92,88,66,76,75,74,0,79,BPharm
93,82,74,67,70,79,67,0,BPharm
94,87,65,62,74,79,0,84,BPharm
95,84,71,71,72,74,0,81,BPharm
96,80,72,77,80,77,76,0,BPharm
97,87,70,66,74,71,0,83,BPharm
98,94,73,66,70,78,76,0,BPharm
99,88,72,68,72,76,0,80,BPharm
100,87,70,72,72,70,0,81,BPharm
101,91,74,78,78,74,0,84,BPharm
102,91,71,69,79,76,73,0,BPharm
103,88,74,72,75,78,75,0,BPharm
104,87,68,73,73,75,78,0,BPharm
105,94,74,69,73,72,0,79,BPharm
106,93,72,72,78,77,0,82,BPharm
107,80,70,63,70,72,65,0,BPharm
108,93,73,72,78,74,0,84,BPharm
109,93,65,77,78,76,79,0,BPharm
110,92,66,64,71,70,0,84,BPharm
111,81,70,74,76,70,64,0,BPharm
112,83,75,71,70,74,63,0,BPharm
113,88,67,68,72,70,0,84,BPharm
114,80,69,60,77,76,64,0,BPharm
115,80,69,60,72,76,0,84,BPharm
116,89,68,69,79,74,0,85,BPharm
117,87,66,74,71,74,0,82,BPharm
118,91,69,76,72,74,69,0,BPharm
119,82,66,67,73,73,0,80,BPharm
120,93,67,60,75,74,0,79,BPharm
121,87,65,61,71,72,0,80,BPharm
122,84,69,68,79,73,0,84,BPharm
123,84,72,75,80,71,0,80,BPharm
124,91,65,61,80,75,0,82,BPharm
125,80,73,68,76,78,74,0,BPharm
126,86,70,70,77,78,75,0,BPharm
127,88,69,60,72,77,0,85,BPharm
128,82,74,70,73,76,72,0,BPharm
129,88,69,63,71,75,78,0,BPharm
130,91,70,74,71,74,0,83,BPharm
131,84,72,71,70,71,0,83,BPharm
132,81,74,76,80,75,64,0,BPharm
133,86,66,78,75,77,70,0,BPharm
134,82,70,64,77,76,64,0,BPharm
135,93,67,75,70,72,0,82,BPharm
136,90,66,62,79,73,76,0,BPharm
137,92,70,69,76,77,0,85,BPharm
138,95,75,73,71,77,0,84,BPharm
139,95,71,80,73,77,67,0,BPharm
140,80,69,60,72,73,71,0,BPharm
141,93,71,62,74,72,67,0,BPharm
142,85,72,80,71,75,0,83,BPharm
143,82,70,62,79,76,63,0,BPharm
144,91,71,80,79,75,0,80,BPharm
145,94,70,80,73,73,0,82,BPharm
146,91,74,76,74,79,71,0,BPharm
147,89,74,80,79,70,78,0,BPharm
148,80,67,66,75,77,76,0,BPharm
149,85,75,72,75,73,79,0,BPharm
150,87,74,61,73,75,0,83,BPharm
151,80,69,72,75,79,0,85,BPharm
152,89,74,64,75,79,78,0,BPharm
153,86,68,78,71,74,77,0,BPharm
154,86,66,80,77,75,0,80,BPharm
155,94,73,62,78,75,66,0,BPharm
156,90,68,80,80,75,76,0,BPharm
157,92,69,60,70,77,70,0,BPharm
158,85,73,73,72,70,76,0,BPharm
159,91,70,61,80,71,73,0,BPharm
160,86,73,76,79,75,75,0,BPharm
161,82,65,72,78,70,64,0,BPharm
162,82,67,72,76,71,75,0,BPharm
163,91,72,60,72,79,0,80,BPharm
164,83,74,65,73,75,72,0,BPharm
165,86,66,77,76,75,0,80,BPharm
166,80,68,66,73,77,0,85,BPharm
167,86,74,69,79,76,62,0,BPharm
168,81,72,71,74,79,79,0,BPharm
169,83,69,78,80,76,0,84,BPharm
170,90,65,63,72,75,0,79,BPharm
171,81,71,78,77,77,0,83,BPharm
172,91,69,62,72,76,0,84,BPharm
173,91,72,73,79,76,0,82,BPharm
174,87,72,80,73,70,0,82,BPharm
175,80,71,75,75,70,69,0,BPharm
176,95,68,76,74,76,0,81,BPharm
177,86,67,78,78,76,0,83,BPharm
178,84,73,72,71,76,63,0,BPharm
179,92,69,71,80,70,0,81,BPharm
180,91,72,76,74,71,77,0,BPharm
181,80,68,61,78,75,70,0,BPharm
182,91,71,64,72,73,0,84,BPharm
183,81,68,78,75,78,68,0,BPharm
184,88,69,62,77,70,0,79,BPharm
185,86,71,68,79,70,78,0,BPharm
186,91,75,70,72,74,0,80,BPharm
187,81,68,61,72,79,0,83,BPharm
188,86,66,71,73,77,0,80,BPharm
189,90,75,63,77,73,0,82,BPharm
190,94,70,67,77,72,0,79,BPharm
191,89,66,68,70,71,62,0,BPharm
192,90,71,65,72,72,0,83,BPharm
193,87,71,69,77,73,71,0,BPharm
194,85,67,65,78,74,0,82,BPharm
195,92,74,62,77,76,0,85,BPharm
196,91,67,78,77,78,0,83,BPharm
197,90,73,66,73,77,0,81,BPharm
198,86,70,73,77,73,0,81,BPharm
199,88,67,76,70,70,63,0,BPharm
200,94,74,63,71,70,72,0,BPharm
201,85,70,72,80,73,0,83,BPharm
202,91,74,64,74,78,0,85,BPharm
203,93,71,72,70,78,74,0,BPharm
204,95,74,72,71,72,76,0,BPharm
